002534-NASDAQ     04/28/1999
ARSC    08/25/1999 29.57 
ARSC    08/26/1999 28.60
ARSC    08/27/1999 27.33
ARSC    08/28/1999 29.80
ARSC    09/01/1999 31.78
ARSC    09/02/1999 30.33
ARSC    09/03/1999 32.50
BBIC    08/25/1999 23.57 
BBIC    08/26/1999 28.60
BBIC    08/27/1999 27.33
BBIC    08/28/1999 29.80
BBIC    09/01/1999 25.78
BBIC    09/02/1999 26.33
BBIC    09/03/1999 24.50
FRSC    08/25/1999 29.57 
FRSC    08/26/1999 28.60
FRSC    08/27/1999 27.33
FRSC    08/28/1999 29.80
FRSC    09/01/1999 31.78
FRSC    09/02/1999 30.33
FRSC    09/03/1999 32.50
FBIC    08/25/1999 23.57 
FBIC    08/26/1999 28.60
FBIC    08/27/1999 27.33
COMP    08/28/1999 29.80
COMP    09/01/1999 25.78
COMP    09/02/1999 26.33
COMP    09/03/1999 24.50
COMP    08/25/1999 29.57 
STEC    08/26/1999 28.60
STEC    08/27/1999 27.33
STEC    08/28/1999 29.80
STEC    09/01/1999 31.78
STEC    09/02/1999 30.33
PLUS    08/25/1999 23.57 
PLUS    08/26/1999 28.60
PLUS    08/27/1999 27.33
PLUS    08/28/1999 29.80
PLUS    09/01/1999 25.78
PLUS    09/02/1999 26.33
PLUS    09/03/1999 24.50






