002534-NASDAQ     04/28/1999
ARSC    03/25/1999 29.57 
ARSC    03/26/1999 28.60
ARSC    03/27/1999 27.33
ARSC    03/28/1999 29.80
ARSC    04/01/1999 31.78
ARSC    04/02/1999 30.33
ARSC    04/03/1999 32.50
BBIC    03/25/1999 23.57 
BBIC    03/26/1999 28.60
BBIC    03/27/1999 27.33
BBIC    03/28/1999 29.80
BBIC    04/01/1999 25.78
BBIC    04/02/1999 26.33
BBIC    04/03/1999 24.50
FRSC    03/25/1999 29.57 
FRSC    03/26/1999 28.60
FRSC    03/27/1999 27.33
FRSC    03/28/1999 29.80
FRSC    04/01/1999 31.78
FRSC    04/02/1999 30.33
FRSC    04/03/1999 32.50
FBIC    03/25/1999 23.57 
FBIC    03/26/1999 28.60
FBIC    03/27/1999 27.33
COMP    03/28/1999 29.80
COMP    04/01/1999 25.78
COMP    04/02/1999 26.33
COMP    04/03/1999 24.50
COMP    03/25/1999 29.57 
STEC    03/26/1999 28.60
STEC    03/27/1999 27.33
STEC    03/28/1999 29.80
STEC    04/01/1999 31.78
STEC    04/02/1999 30.33
PLUS    03/25/1999 23.57 
PLUS    03/26/1999 28.60
PLUS    03/27/1999 27.33
PLUS    03/28/1999 29.80
PLUS    04/01/1999 25.78
PLUS    04/02/1999 26.33
PLUS    04/03/1999 24.50






