002534-NASDAQ     04/28/1999
ARSC    09/25/1999 29.57 
ARSC    09/26/1999 28.60
ARSC    09/27/1999 27.33
ARSC    09/28/1999 29.80
ARSC    10/01/1999 31.78
ARSC    10/02/1999 30.33
ARSC    10/03/1999 32.50
BBIC    09/25/1999 23.57 
BBIC    09/26/1999 28.60
BBIC    09/27/1999 27.33
BBIC    09/28/1999 29.80
BBIC    10/01/1999 25.78
BBIC    10/02/1999 26.33
BBIC    10/03/1999 24.50
FRSC    09/25/1999 29.57 
FRSC    09/26/1999 28.60
FRSC    09/27/1999 27.33
FRSC    09/28/1999 29.80
FRSC    10/01/1999 31.78
FRSC    10/02/1999 30.33
FRSC    10/03/1999 32.50
FBIC    09/25/1999 23.57 
FBIC    09/26/1999 28.60
FBIC    09/27/1999 27.33
COMP    09/28/1999 29.80
COMP    10/01/1999 25.78
COMP    10/02/1999 26.33
COMP    10/03/1999 24.50
COMP    09/25/1999 29.57 
STEC    09/26/1999 28.60
STEC    09/27/1999 27.33
STEC    09/28/1999 29.80
STEC    10/01/1999 31.78
STEC    10/02/1999 30.33
PLUS    09/25/1999 23.57 
PLUS    09/26/1999 28.60
PLUS    09/27/1999 27.33
PLUS    09/28/1999 29.80
PLUS    10/01/1999 25.78
PLUS    10/02/1999 26.33
PLUS    10/03/1999 24.50






